product_name,brand,category,subcategory,size,mrp,discount_pct,selling_price,price_per_unit,stock,rating,review_count,source,search_category
Wowper Fresh Baby Diaper Pants By DOMS | Wetness Indicator | Upto 12 Hrs Absorption | 7-12 Kg | M  (72 Pieces),Wowper,Diapering,Baby Diapers,Medium,1029.0,54.0,473.34,6.57,7151,4.05,1154,FirstCry,diapering
"MamyPoko Pants Extra Absorb Baby Diapers, Medium (M size) | 7-12 kg | 148 Count |Deep Sleep Diapers| Soft gentle fit |Deep Absorbent Crisscross | skin friendly with coconut oil |",MamyPoko,Diapering,Baby Diapers,Medium,2437.0,40.0,1458.3,9.85,990,4.41,1381,FirstCry,diapering
Pampers Active Baby Taped Style Diaper Pants (New Born XS) - 96 Pieces,Pampers,Diapering,Baby Diapers,New Born,1499.0,13.0,1300.08,13.54,2811,4.48,4491,FirstCry,diapering
Pampers Premium Care Pants Diapers Size XXL 60 - White,Pampers,Diapering,Baby Diapers,XXL,2849.0,34.0,1866.66,31.11,418,4.48,5637,FirstCry,diapering
"Babyhug Advanced Pant Style Diapers Small (S) Size - 84 Pieces, Honeycomb Technology, Cottony Soft Diaper with 3D Leak Guard, Latex & Alcohol Free, Anti-rash & Gentle",Babyhug,Diapering,Baby Diapers,Small,1289.0,50.0,642.57,7.65,7969,4.1,17639,FirstCry,diapering
"Pampers Complete Skin Comfort Pants (LG), 64 Count, 9-14kg, Anti-rash blanket, 360 degree Lotion with Aloe Vera",Pampers,Diapering,Baby Diapers,Large,1499.0,35.0,970.6,15.17,346,4.24,6996,FirstCry,diapering
"Pampers Complete Skin Comfort Pants (XXL) 84 Count, 12-17kg, Anti-rash blanket, 360 degree Lotion with Aloe Vera",Pampers,Diapering,Baby Diapers,XXL,2878.0,36.0,1830.7,21.79,95,4.24,6996,FirstCry,diapering
"Pampers Complete Skin Comfort Pants (LG) 128 Count, 9-14 kg, Anti-rash blanket, 360 degree Lotion with Aloe Vera",Pampers,Diapering,Baby Diapers,Large,2771.0,33.0,1855.74,14.5,225,4.24,6996,FirstCry,diapering
"Huggies Complete Comfort Wonder Pants, India's Fastest Absorbing Diaper | XL Size, 112 Diapers",Huggies,Diapering,Baby Diapers,Extra Large,2248.0,36.0,1445.01,12.9,332,4.2,7501,FirstCry,diapering
"Huggies Complete Comfort Wonder Pants, India's Fastest Absorbing Diaper | XXL Size, 96 Diapers",Huggies,Diapering,Baby Diapers,XXL,2396.0,41.0,1424.9,14.84,1175,4.2,7501,FirstCry,diapering
Pampers Premium Care Pants S 70 | No Marks Design | India's Softest Diaper,Pampers,Diapering,Baby Diapers,Small,1399.0,31.0,971.75,13.88,1850,4.48,5637,FirstCry,diapering
"Babyhug Advanced Pant Style Diaper XXXL Size - 20 Pieces, Honeycomb Technology, Cottony Soft Diaper with 3D Leak Guard, Latex & Alcohol Free, Anti-rash & Gentle",Babyhug,Diapering,Baby Diapers,XXXL,1099.0,53.0,519.83,25.99,19003,4.1,17639,FirstCry,diapering
"MamyPoko Pants Extra Absorb Baby Diapers, Large (L size) | 9-14 kg | 64 Count |Deep Sleep Diapers| Soft gentle fit |Deep Absorbent Crisscross | skin friendly with coconut oil |",MamyPoko,Diapering,Baby Diapers,Large,1312.0,36.0,835.74,13.06,10031,4.41,1381,FirstCry,diapering
Babyhug Pro Bubble Care Premium Tape Style Diaper Large - 88 Pieces - New & Improved Superior Fit,Babyhug,Diapering,Baby Diapers,Large (L),2340.0,41.0,1370.3,15.57,1790,4.32,1895,FirstCry,diapering
"MamyPoko Pants Extra Absorb Baby Diapers, Extra Large (XL size) | 12-17 kg | 52 Count |Deep Sleep Diapers| Soft gentle fit |Deep Absorbent Crisscross | skin friendly with coconut oil |",MamyPoko,Diapering,Baby Diapers,Extra Large,1312.0,36.0,835.74,16.07,3087,4.41,1381,FirstCry,diapering
"New Mamypoko Pants Premium All Night Absorb| Pant Style Baby Diapers Large Size(L), 62 Count, Ideal for 9-14Kgs",MamyPoko,Diapering,Baby Diapers,L,899.0,35.0,580.39,9.36,1563,4.22,1619,FirstCry,diapering
"Pampers Complete Skin Comfort Pants (LG) 192 Count, 9-14 kg, Anti-rash blanket, 360 degree Lotion with Aloe Vera",Pampers,Diapering,Baby Diapers,Large,4156.0,34.0,2728.0,14.21,145,4.24,6996,FirstCry,diapering
Babyhug Advanced Tape Style Diapers New Born Size - 72 Pieces,Babyhug,Diapering,Baby Diapers,New Born,1012.0,47.0,540.0,7.5,19032,3.91,902,FirstCry,diapering
Pampers All round Protection Diaper Pants with Anti-rash Blanket Large (L) Size - 21 Pieces,Pampers,Diapering,Baby Diapers,Large,399.0,24.0,304.68,14.51,998,4.24,6996,FirstCry,diapering
"Pampers Active Baby Taped Diapers, Large size diapers, (L) 78 count, taped style custom fit",Pampers,Diapering,Baby Diapers,Large,1730.0,8.0,1596.27,20.46,26495,4.48,4491,FirstCry,diapering
Babyhug Pro Bubble Care Premium Tape Style Diaper (S) Small - 84 Pieces - New & Improved Superior Fit,Babyhug,Diapering,Baby Diapers,Small (S),1649.0,41.0,979.67,11.66,20983,4.32,1895,FirstCry,diapering
"Huggies Complete Comfort Wonder Pants, India's Fastest Absorbing Diaper | L Size, 128 Diapers",Huggies,Diapering,Baby Diapers,Large,2248.0,36.0,1445.01,11.29,953,4.2,7501,FirstCry,diapering
"Pampers Active Baby Diapers, New Born, Extra Small, (NB, XS) size, 72 Count, Taped style diaper",Pampers,Diapering,Baby Diapers,New Born,1120.0,10.0,1009.57,14.02,33779,4.48,4491,FirstCry,diapering
"Pampers Complete Skin Comfort Pants (MD), 76 Count, 7-12kg, Anti-rash blanket, 360 degree Lotion with Aloe Vera",Pampers,Diapering,Baby Diapers,Medium,1499.0,38.0,933.88,12.29,660,4.24,6996,FirstCry,diapering
"Huggies Complete Comfort Wonder Pants, India's Fastest Absorbing Diaper | XL Size, 168 Diapers",Huggies,Diapering,Baby Diapers,Extra Large,3280.0,35.0,2145.12,12.77,1712,4.2,7501,FirstCry,diapering
Pampers Premium Care Pants XXL 30 | No Marks Design | India's Softest Diaper,Pampers,Diapering,Baby Diapers,XXL,1499.0,36.0,952.31,31.74,1159,4.48,5637,FirstCry,diapering
Pampers Premium Care Pants S 140 | No Marks Design | India's Softest Diaper,Pampers,Diapering,Baby Diapers,Small,2658.0,30.0,1849.7,13.21,274,4.48,5637,FirstCry,diapering
Pampers Premium Care Pants M 216 | No Marks Design | India's Softest Diaper,Pampers,Diapering,Baby Diapers,Medium,5316.0,33.0,3568.63,16.52,111,4.48,5637,FirstCry,diapering
MamyPoko Premium Pant Style Diaper XL - 52 Pieces,MamyPoko,Diapering,Baby Diapers,XL,899.0,35.0,580.39,11.16,1062,4.22,1619,FirstCry,diapering
Babyoye Air Soft Premium Pant Style Diapers Medium - 54 Pieces | All Night Dryness | Prevents Diaper Rash | Upto 12 Hr Leakage Protection | Super Soft & Comfy | Quick Absorption,Babyoye,Diapering,Baby Diapers,Medium,1449.0,60.0,579.6,10.73,4470,4.17,290,FirstCry,diapering
Babyhug Advanced 99% Pure Water Unscented Baby Wipes Pack of 2 - 72 Pieces Each,Babyhug,Diapering,Baby Wipes,Pack of 2,560.0,41.0,330.4,0.0,45420,4.49,422,FirstCry,diapering
"Babyhug Advanced Pant Style Diaper New Born (NB) Size Monthly Box Pack - 102 Pieces, Honeycomb Technology, Cottony Soft Diaper with 3D Leak Guard, Latex & Alcohol Free, Anti-rash & Gentle",Babyhug,Diapering,Baby Diapers,New Born,1125.0,39.0,682.42,6.69,2825,4.1,17639,FirstCry,diapering
Wowper Fresh Baby Diaper Pants By DOMS | Wetness Indicator | Upto 12 Hrs Absorption | 15-25 Kg | XXL  (48 Pieces),Wowper,Diapering,Baby Diapers,XXL,1029.0,54.0,473.34,9.86,8862,4.05,1154,FirstCry,diapering
"New Mamypoko Pants Premium All Night Absorb| Pant Style Baby Diapers Medium Size(M), 70 Count, Ideal for 7-12Kgs",MamyPoko,Diapering,Baby Diapers,M,899.0,35.0,580.39,8.29,1308,4.22,1619,FirstCry,diapering
"Pampers All round Protection Pants Baby Diapers (XL) 20 Pieces , 12- 17 Kg",Pampers,Diapering,Baby Diapers,XL,425.0,12.0,374.0,18.7,299,4.24,6996,FirstCry,diapering
"Huggies Complete Comfort Wonder Pants, India's Fastest Absorbing Diaper | M Size, 228 Diapers",Huggies,Diapering,Baby Diapers,Medium,2899.0,26.0,2144.97,9.41,357,4.2,7501,FirstCry,diapering
Babyoye Air Soft Premium Pant Style Diapers Large - 44 Pieces | All Night Dryness | Prevents Diaper Rash | Upto 12 Hr Leakage Protection | Super Soft & Comfy | Quick Absorption,Babyoye,Diapering,Baby Diapers,Large,1299.0,60.0,519.6,11.81,160,4.17,290,FirstCry,diapering
Pampers Premium Care Pants XL 36 | No Marks Design | India's Softest Diaper,Pampers,Diapering,Baby Diapers,Extra Large,1399.0,33.0,932.85,25.91,4267,4.48,5637,FirstCry,diapering
"Pampers Complete Skin Comfort Pants (XL), 168 Count, 12-17kg, Anti-rash blanket, 360 degree Lotion with Aloe Vera",Pampers,Diapering,Baby Diapers,Extra Large,3967.0,22.0,3094.26,18.42,104,4.24,6996,FirstCry,diapering
"Babyhug Advanced Pant Style Diaper New Born (NB) - 34 Pieces, Honeycomb Technology, Cottony Soft Diaper with 3D Leak Guard, Latex & Alcohol Free, Anti-rash & Gentle",Babyhug,Diapering,Baby Diapers,New Born,399.0,38.0,246.5,7.25,20005,4.1,17639,FirstCry,diapering
Pampers Premium Care Pants NB 70 | No Marks Design | India's Softest Diaper,Pampers,Diapering,Baby Diapers,New Born,1349.0,41.0,796.85,11.38,1401,4.48,5637,FirstCry,diapering
"Babyhug Advanced Pant Style Diaper Small - 32 Pieces, Honeycomb Technology, Cottony Soft Diaper with 3D Leak Guard, Latex & Alcohol Free, Anti-rash & Gentle",Babyhug,Diapering,Baby Diapers,Small,375.0,16.0,313.27,9.79,43379,4.1,17639,FirstCry,diapering
Huggies Complete Comfort Wonder Pants Triple Extra Large XXXL Baby Diaper Pants with 5 in 1 Comfort - 48 Pieces,Huggies,Diapering,Baby Diapers,XXXL,2598.0,47.0,1384.99,28.85,136,4.2,7501,FirstCry,diapering
Babyhug Advanced Tape Style Diapers Small Size - 36 Pieces,Babyhug,Diapering,Baby Diapers,Small,506.0,43.0,288.02,8.0,15044,3.91,902,FirstCry,diapering
"Huggies Complete Comfort Wonder Pants, India's Fastest Absorbing Diaper | L Size, 192 Diapers",Huggies,Diapering,Baby Diapers,Large,3280.0,35.0,2145.12,11.17,378,4.2,7501,FirstCry,diapering
Pampers Premium Care Pants Diapers Size M 162 Count With No Marks Design - White,Pampers,Diapering,Baby Diapers,Medium,3975.0,32.0,2691.87,16.62,551,4.48,5637,FirstCry,diapering
"Pampers Complete Skin Comfort Pants (SM) 86 Count, 4-8 kg, Anti-rash blanket, 360 degree Lotion with Aloe Vera",Pampers,Diapering,Baby Diapers,Small,1249.0,34.0,820.59,9.54,536,4.24,6996,FirstCry,diapering
"MamyPoko Pants Extra Absorb Baby Diapers, Medium (M size) | 7-12 kg | 74 Count |Deep Sleep Diapers| Soft gentle fit |Deep Absorbent Crisscross | skin friendly with coconut oil |",MamyPoko,Diapering,Baby Diapers,Medium,1312.0,36.0,835.74,11.29,1711,4.41,1381,FirstCry,diapering
"Pampers Complete Skin Comfort Pants (MD) 152 Count, 7-12kg, Anti-rash blanket, 360 degree Lotion with Aloe Vera",Pampers,Diapering,Baby Diapers,Medium,2771.0,36.0,1765.4,11.61,120,4.24,6996,FirstCry,diapering
Pampers Premium Care Pants No Marks Design Small - 90 Pieces,Pampers,Diapering,Baby Diapers,Small,1749.0,31.0,1214.68,13.5,896,4.48,5637,FirstCry,diapering
"Pampers Active Baby Taped Diapers, Medium size diapers, (M) 62 count, taped style custom fit",Pampers,Diapering,Baby Diapers,Medium,1217.0,11.0,1085.2,17.5,3702,4.48,4491,FirstCry,diapering
"Pampers Complete Skin Comfort Pants (XL) 56 Count, 12-17kg, Anti-rash blanket, 360 degree Lotion with Aloe Vera",Pampers,Diapering,Baby Diapers,Extra Large,1499.0,22.0,1162.17,20.75,512,4.24,6996,FirstCry,diapering
"Huggies Complete Comfort Wonder Pants, India's Fastest Absorbing Diaper | XL Size, 68 Diapers",Huggies,Diapering,Baby Diapers,Extra Large,1590.0,44.0,895.17,13.16,3592,4.2,7501,FirstCry,diapering
R for Rabbit Small S Size Premium Feather Diaper for Baby 5 to 9 kgs (74 Pack Offer),R for Rabbit,Diapering,Baby Diapers,Small,1800.0,23.0,1384.02,18.7,2573,4.45,905,FirstCry,diapering
"Huggies Complete Comfort Wonder Pants, India's Fastest Absorbing Diaper | M Size, 152 Diapers",Huggies,Diapering,Baby Diapers,Medium,2248.0,36.0,1445.01,9.51,190,4.2,7501,FirstCry,diapering
"Huggies Complete Comfort Wonder Pants, India's Fastest Absorbing Diaper | M Size, 100 Diapers",Huggies,Diapering,Baby Diapers,Medium,1590.0,39.0,975.15,9.75,4642,4.2,7501,FirstCry,diapering
"Huggies Complete Comfort Wonder Pants, India's Fastest Absorbing Diaper | XL Size, 56 Diapers",Huggies,Diapering,Baby Diapers,Extra Large,1299.0,43.0,744.98,13.3,2776,4.2,7501,FirstCry,diapering
Pampers Active Baby Taped Diapers Small Size - 66 Pieces,Pampers,Diapering,Baby Diapers,Small,1225.0,8.0,1128.71,17.1,131,4.48,4491,FirstCry,diapering
